1	18	1	330	277
2	18	1	330	305
3	18	1	330	362
4	18	1	330	397
5	18	0	330	473
6	18	1	330	506
7	18	0	330	541
8	11	1	330	704
9	11	1	330	734
10	11	1	330	766
11	11	1	330	818
12	11	1	330	850
13	11	1	330	880
14	11	1	330	931
15	11	1	330	962
16	18	1	509	247
17	18	1	509	277
18	18	1	509	310
19	18	1	509	361
20	18	1	509	392
21	18	1	509	424
22	18	1	509	475
23	18	1	509	508
24	18	1	509	541
25	11	0	509	589
26	11	0	509	620
27	11	1	509	655
28	11	1	509	703
29	11	1	509	734
30	11	0	509	767
31	11	1	509	817
32	11	1	509	848
33	11	0	509	881
34	16	1	570	247
35	16	1	570	277
36	16	1	570	310
37	16	1	570	361
38	16	1	570	392
39	16	1	570	424
40	16	1	570	475
41	16	0	570	508
42	16	1	570	541
43	17	1	570	589
44	17	1	570	620
45	17	1	570	655
46	17	1	570	703
47	17	0	570	734
48	17	0	570	767
49	17	1	570	817
50	17	1	570	848
51	17	1	570	881
52	16	1	731	247
53	16	1	731	277
54	16	1	731	310
55	16	1	731	361
56	16	1	731	392
57	16	1	731	424
58	16	1	731	475
59	16	1	731	508
60	16	1	731	541
61	17	1	731	589
62	17	1	731	620
63	17	1	731	655
64	17	1	731	703
65	17	1	731	734
66	17	1	731	767
67	17	1	731	817
68	17	1	731	848
69	17	1	731	881
70	14	1	1110	247
71	14	1	1110	277
72	14	1	1110	310
73	14	1	1110	361
74	14	1	1110	392
75	14	1	1110	424
76	14	1	1110	475
77	14	1	1110	508
78	14	1	1110	541
79	15	0	1110	589
80	15	0	1110	620
81	15	1	1110	655
82	15	1	1110	703
83	15	1	1110	734
84	15	1	1110	767
85	15	1	1110	817
86	15	1	1110	848
87	15	1	1110	881
88	14	1	1257	247
89	14	1	1257	277
90	14	1	1257	310
91	14	1	1257	361
92	14	1	1257	392
93	14	1	1257	424
94	14	1	1257	475
95	14	1	1257	508
96	14	1	1257	541
97	15	0	1257	589
98	15	0	1257	620
99	15	1	1257	655
100	15	1	1257	703
101	15	1	1257	734
102	15	1	1257	767
103	15	1	1257	817
104	15	1	1257	848
105	15	1	1257	881
106	12	1	1331	247
107	12	0	1331	277
108	12	1	1331	310
109	12	1	1331	361
110	12	1	1331	392
111	12	1	1331	424
112	12	1	1331	475
113	12	1	1331	508
114	12	1	1331	541
115	13	1	1331	589
116	13	1	1331	620
117	13	1	1331	655
118	13	1	1331	703
119	13	1	1331	734
120	13	0	1331	767
121	13	1	1331	817
122	13	1	1331	848
123	13	1	1331	881
124	12	1	1485	247
125	12	1	1485	277
126	12	1	1485	310
127	12	1	1485	361
128	12	1	1485	392
129	12	1	1485	424
130	12	1	1485	475
131	12	1	1485	508
132	12	1	1485	541
133	13	1	1485	589
134	13	1	1485	620
135	13	1	1485	655
136	13	1	1485	703
137	13	1	1485	734
138	13	1	1485	767
139	13	1	1485	817
140	13	1	1485	848
141	13	1	1485	881
142	5	1	1556	247
143	5	1	1556	277
144	5	1	1556	310
145	5	1	1556	361
146	5	1	1556	392
147	5	1	1556	424
148	5	1	1556	475
149	5	1	1556	508
150	5	1	1556	541
151	6	1	1556	589
152	6	1	1556	620
153	6	1	1556	655
154	6	0	1556	703
155	6	1	1556	734
156	6	1	1556	767
157	6	1	1556	817
158	6	1	1556	848
159	6	1	1556	881
160	5	1	1710	196
161	5	1	1710	247
162	5	1	1710	277
163	5	0	1710	310
164	5	1	1710	361
165	5	0	1710	392
166	5	1	1710	424
167	5	1	1710	475
168	5	1	1710	508
169	5	1	1710	541
170	6	1	1710	589
171	6	0	1710	620
172	6	1	1710	655
173	6	1	1710	703
174	6	1	1710	734
175	6	1	1710	767
176	6	1	1710	817
177	6	1	1710	848
178	6	1	1710	881
179	6	0	1710	931
180	1	1	507	88
181	1	1	539	88
182	1	1	572	88
183	1	1	617	88
184	1	1	650	88
185	1	1	683	88
186	2	1	728	88
187	2	0	759	88
188	2	0	792	88
189	2	1	837	88
190	2	1	876	88
191	2	1	909	88
192	2	1	942	88
193	2	1	995	88
194	2	1	1040	88
195	2	1	1071	88
196	2	0	1106	88
197	3	1	1149	88
198	3	1	1182	88
199	3	1	1215	88
200	3	1	1262	88
201	3	1	1292	88
202	3	1	1326	88
203	3	1	1376	88
204	3	1	1409	88
205	3	1	1440	88
206	4	1	1490	88
207	4	1	1521	88
208	4	1	1554	88
209	4	0	1604	88
210	4	1	1637	88
211	2	1	785	263
212	2	1	1046	263
213	10	1	430	1037
214	10	1	462	1037
215	10	1	507	1037
216	10	1	539	1037
217	10	1	572	1037
218	10	0	617	1037
219	10	1	650	1037
220	10	1	683	1037
221	9	1	728	1037
222	9	1	759	1037
223	9	1	792	1037
224	9	1	884	1037
225	9	1	948	1037
226	9	1	1040	1037
227	9	1	1071	1037
228	9	1	1106	1037
229	9	1	1149	1037
230	9	1	1182	1037
231	9	1	1215	1037
232	8	1	1262	1037
233	8	0	1292	1037
234	8	0	1326	1037
235	8	1	1376	1037
236	8	1	1409	1037
237	8	1	1440	1037
238	8	1	1490	1037
239	8	1	1521	1037
240	8	1	1554	1037
241	7	1	1604	1037
242	7	1	1637	1037
